scorer,,,Antoine,Antoine,Antoine,Antoine,Antoine,Antoine
bodyparts,,,Cuisse,Cuisse,Genoux,Genoux,Cheville,Cheville
coords,,,x,y,x,y,x,y
labeled-data,101G,img001.png,1429.7875120656558,533.0429591222514,971.3378830027821,462.0155518026512,454.77492067841706,436.1874036864331
labeled-data,101G,img006.png,1412.5687466548436,539.4999961513059,967.0331916500788,481.38666288981494,471.99368608922924,556.7187615621182
labeled-data,101G,img014.png,1401.807018273086,548.109378856712,911.0722040649393,530.8906134458999,840.0447967453392,918.3128351891736
labeled-data,101G,img019.png,1403.9593639494376,541.6523418276576,939.0526978575092,537.3476504749544,1083.259858173061,858.0471562513309
labeled-data,101G,img023.png,1419.0257836838982,541.6523418276576,962.7285002973758,513.6718480350877,1046.6699816750852,849.4377735459249
labeled-data,101G,img027.png,1412.5687466548436,548.109378856712,956.2714632683214,522.2812307404938,904.615167035885,918.3128351891736
labeled-data,101G,img031.png,1401.807018273086,552.4140702094151,945.5097348865638,543.804687504009,721.6657845460056,939.8362919526886
labeled-data,101G,img038.png,1419.0257836838982,539.4999961513059,928.2909694757516,530.8906134458999,633.4196118155933,827.9143167824096
labeled-data,101G,img046.png,1410.4164009784922,548.109378856712,921.833932446697,539.4999961513059,796.9978832183087,909.7034524837674
labeled-data,101G,img055.png,1401.807018273086,537.3476504749544,936.9003521811576,530.8906134458999,1003.6230681480547,901.0940697783614
labeled-data,101G,img061.png,1401.807018273086,537.3476504749544,936.9003521811576,539.4999961513059,900.3104756831817,926.9222178945796
labeled-data,101G,img076.png,1403.9593639494376,520.1288850641423,930.4433151521032,513.6718480350877,743.1892413095209,886.0276500439007
labeled-data,101G,img081.png,1401.807018273086,520.1288850641423,934.7480065048062,524.4335764168453,835.7401053926362,914.0081438364704
labeled-data,101G,img095.png,1403.9593639494376,520.1288850641423,936.9003521811576,524.4335764168453,874.4823275669635,903.246415454713
labeled-data,101G,img105.png,1410.4164009784922,513.6718480350877,934.7480065048062,513.6718480350877,779.7791178074967,890.3323413966037
labeled-data,101G,img120.png,1401.807018273086,520.1288850641423,930.4433151521032,524.4335764168453,861.5682535088545,916.160489512822
labeled-data,101G,img136.png,1391.0452898913284,522.2812307404938,930.4433151521032,520.1288850641423,833.5877597162846,901.0940697783614
labeled-data,101G,img147.png,1397.502326920383,522.2812307404938,936.9003521811576,522.2812307404938,842.1971424216908,905.3987611310644
labeled-data,101G,img159.png,1393.19763556768,522.2812307404938,934.7480065048062,522.2812307404938,835.7401053926362,920.465180865525
labeled-data,101G,img162.png,1399.6546725967346,522.2812307404938,928.2909694757516,530.8906134458999,837.8924510689876,903.246415454713
