scorer,,,Antoine,Antoine,Antoine,Antoine,Antoine,Antoine
bodyparts,,,Hanche,Hanche,Genoux,Genoux,Cheville,Cheville
coords,,,x,y,x,y,x,y
labeled-data,114D_2,img04.png,317.0247973919197,444.7967863918391,870.1776362142605,367.31234204318434,1307.103808513619,296.28493472358423
labeled-data,114D_2,img07.png,308.41541468651366,436.1874036864331,885.2440559487211,363.00765069048134,1302.799117160916,298.43728039993573
labeled-data,114D_2,img14.png,299.8060319811076,427.57802098102695,876.6346732433151,356.5506136614267,1296.3420801318616,298.43728039993573
labeled-data,114D_2,img22.png,304.1107233338106,418.96863827562083,859.4159078325029,358.70295933777834,1292.0373887791584,298.43728039993573
labeled-data,114D_2,img23.png,308.41541468651366,418.96863827562083,859.4159078325029,350.0935766323722,1298.494425808213,298.43728039993573
labeled-data,114D_2,img31.png,312.7201060392167,410.3592555702148,868.0252905379091,339.3318482506146,1287.7326974264554,291.9802433708812
labeled-data,114D_2,img36.png,308.41541468651366,403.9022185411602,885.2440559487211,319.960737163451,1289.885043102807,341.4841939269661
labeled-data,114D_2,img38.png,308.41541468651366,408.2069098938632,893.8534386541273,326.4177741925055,1294.18973445551,416.81629259926933
labeled-data,114D_2,img41.png,319.1771430682713,393.1404901594026,917.529241093994,326.4177741925055,1184.1432851192271,610.4858686311125
labeled-data,114D_2,img42.png,324.2650333835716,394.3925657600683,924.7694770856459,321.2128127641166,1127.347173196555,661.996945328677
labeled-data,114D_2,img46.png,328.43962638296944,401.8735673391572,929.0410542697937,396.6357641889814,836.5065319500213,728.3632970334482
labeled-data,114D_2,img48.png,321.45588884940173,403.61950172254916,918.5654479694422,407.111370489333,780.6366316814797,702.1742812825693
labeled-data,114D_2,img52.png,319.7099544660098,403.61950172254916,909.8357760524825,337.27399515365573,841.7443351001973,670.7474623815145
labeled-data,114D_2,img59.png,323.2018232327937,407.111370489333,925.54918550301,347.74960145400735,1004.1162327556467,682.969003065258
labeled-data,114D_2,img65.png,330.1855607663614,407.111370489333,934.2788574199697,372.1926828214944,1009.3540359058227,695.1905437490016
labeled-data,114D_2,img70.png,321.45588884940173,410.60323925611686,930.7869886531857,356.479273370967,1009.3540359058227,686.4608718320419
labeled-data,114D_2,img77.png,330.1855607663614,410.60323925611686,934.2788574199697,365.20894528792667,1021.575576589566,700.4283468991773
labeled-data,114D_2,img79.png,333.67742953314524,412.34917363950876,920.311382352834,370.4467484381024,1023.3215109729581,705.6661500493532
labeled-data,114D_2,img83.png,330.1855607663614,412.34917363950876,936.0247918033615,379.1764203550621,1037.2889860400935,709.158018816137
labeled-data,114D_2,img91.png,345.89897021688876,410.60323925611686,944.7544637203212,373.9386172048863,1044.2727235736613,705.6661500493532
