scorer,,,Antoine,Antoine,Antoine,Antoine,Antoine,Antoine
bodyparts,,,Cuisse,Cuisse,Genoux,Genoux,Pied,Pied
coords,,,x,y,x,y,x,y
labeled-data,208D,img004.png,378.9848901735141,415.10392264518725,818.2106258514186,316.815646129852,1395.6542503790133,353.67374982310275
labeled-data,208D,img005.png,385.12790745572255,424.3184485685,805.9245912870017,304.52961156543506,1395.6542503790133,344.45922389979
labeled-data,208D,img006.png,385.12790745572255,433.53297449181264,818.2106258514186,313.7441374887477,1407.9402849434302,326.0301720531646
labeled-data,208D,img008.png,385.12790745572255,415.10392264518725,821.2821344925228,304.52961156543506,1404.868776302326,307.60112020653924
labeled-data,208D,img014.png,388.1994160968268,430.46146585070835,815.1391172103145,326.0301720531646,1404.868776302326,313.7441374887477
labeled-data,208D,img015.png,380.9995650592673,425.57532781938033,810.066361443862,327.92564312495483,1413.7189577366714,316.089317707448
labeled-data,208D,img016.png,383.9586464136438,422.61624646500377,813.0254427982386,324.9665617705783,1398.9235509647888,319.0483990618247
labeled-data,208D,img019.png,383.9586464136438,428.5344091737568,813.0254427982386,324.9665617705783,1413.7189577366714,327.92564312495415
labeled-data,208D,img021.png,383.9586464136438,434.4525718825098,810.066361443862,327.92564312495483,1416.6780390910478,336.8028871880837
labeled-data,208D,img025.png,389.8768091223968,434.4525718825098,818.9436055069916,330.88472447933134,1407.8007950279184,345.6801312512132
labeled-data,208D,img030.png,392.83589047677333,449.24797865439245,824.8617682157446,336.80288718808436,1410.7598763822948,366.39370073184887
labeled-data,208D,img034.png,395.79497183114984,434.4525718825098,830.7799309244976,342.72104989683737,1395.9644696104124,363.4346193774724
labeled-data,208D,img035.png,398.75405318552635,443.32981594563944,830.7799309244976,342.72104989683737,1413.7189577366714,381.1891075037314
labeled-data,208D,img038.png,392.83589047677333,443.32981594563944,824.8617682157446,342.72104989683737,1395.9644696104124,375.27094479497845
labeled-data,208D,img042.png,380.9995650592673,443.3298159456395,821.9026868613681,339.76196854246086,1401.8826323191654,351.59829395996627
labeled-data,208D,img045.png,389.8768091223968,440.37073459126293,821.9026868613681,339.76196854246086,1410.7598763822948,342.7210498968367
labeled-data,208D,img048.png,386.9177277680203,443.32981594563944,821.9026868613681,339.76196854246086,1407.8007950279184,345.6801312512132
labeled-data,208D,img049.png,386.9177277680203,443.32981594563944,821.9026868613681,339.76196854246086,1407.8007950279184,339.7619685424602
labeled-data,208D,img050.png,386.9177277680203,443.32981594563944,821.9026868613681,339.76196854246086,1407.8007950279184,351.5982939599662
labeled-data,208D,img055.png,386.9177277680203,443.32981594563944,821.9026868613681,339.76196854246086,1401.8826323191654,357.5164566687194
labeled-data,208D,img056.png,386.9177277680203,443.32981594563944,821.9026868613681,339.76196854246086,1413.7189577366714,351.5982939599662
labeled-data,208D,img057.png,386.9177277680203,443.32981594563944,821.9026868613681,339.76196854246086,1404.8417136735418,354.5573753143427
labeled-data,208D,img060.png,386.9177277680203,443.32981594563944,821.9026868613681,339.76196854246086,1390.0463069016594,437.41165323688534
labeled-data,208D,img063.png,386.9177277680203,443.32981594563944,836.6980936332507,390.0663515668616,1327.9055984597524,597.2020463732172
labeled-data,208D,img064.png,392.83589047677333,455.16614136314547,884.0433953032749,407.8208396931207,1259.8467273090926,671.1790802326301
labeled-data,208D,img066.png,404.6722158942794,461.0843040718985,901.7978834295341,431.4934905281327,1120.7699036533963,762.9106022183024
labeled-data,208D,img067.png,410.59037860303243,461.0843040718985,910.6751274926636,452.2070600087684,1034.9565443764773,795.4604971164441
labeled-data,208D,img068.png,416.50854131178545,461.0843040718985,910.6751274926636,475.87971084378046,960.9795105170643,816.1740665970799
labeled-data,208D,img069.png,416.50854131178545,461.0843040718985,904.7569647839106,458.1252227175214,901.7978834295341,804.3377411795738
labeled-data,208D,img070.png,416.50854131178545,461.0843040718985,910.6751274926636,452.2070600087684,848.5344190507567,804.3377411795738
labeled-data,208D,img071.png,416.50854131178545,461.0843040718985,907.7160461382871,449.2479786543919,801.1891173807325,774.7469276358088
labeled-data,208D,img072.png,416.50854131178545,461.0843040718985,913.6342088470401,419.6571651106267,771.5983038369674,745.1561140920437
labeled-data,208D,img074.png,410.59037860303243,461.0843040718985,884.0433953032749,413.73900240187373,804.148198735109,736.2788700289141
labeled-data,208D,img076.png,407.6312972486559,446.28889730001595,881.0843139488984,393.02543292123806,869.2479885313924,730.3607073201609
labeled-data,208D,img078.png,392.83589047677333,443.32981594563944,863.3298258226394,393.02543292123806,966.8976732258174,756.9924395095495
labeled-data,208D,img081.png,401.7131345399029,464.043385426275,878.1252325945219,419.65716511062675,1126.6880663621494,751.0742768007963
labeled-data,208D,img083.png,419.46762266616196,446.28889730001595,889.9615580120279,419.65716511062675,1209.5423442846918,733.319788674537
labeled-data,208D,img088.png,410.59037860303243,449.24797865439245,898.8388020751576,393.025432921238,1245.05132053721,680.0563242957597
labeled-data,208D,img090.png,410.59037860303243,449.24797865439245,875.1661512401454,410.7799210474972,1209.5423442846918,685.9744870045129
labeled-data,208D,img091.png,404.6722158942794,467.0024667806515,895.8797207207809,413.7390024018737,1203.6241815759388,691.8926497132659
labeled-data,208D,img092.png,404.6722158942794,467.0024667806515,892.9206393664044,422.61624646500326,1200.6651002215622,706.6880564851485
labeled-data,208D,img093.png,410.59037860303243,467.0024667806515,892.9206393664044,422.61624646500326,1156.2788799059144,709.6471378395249
labeled-data,208D,img094.png,410.59037860303243,467.0024667806515,901.7978834295341,431.4934905281327,1126.6880663621494,733.319788674537
labeled-data,208D,img097.png,425.38578537491503,452.20706000876896,913.6342088470401,437.41165323688585,1020.1611376045947,768.8287649270555
labeled-data,208D,img099.png,425.38578537491503,452.20706000876896,904.7569647839106,422.6162464650032,969.8567545801939,771.7878462814319
labeled-data,208D,img101.png,422.42670402053847,443.32981594563944,907.7160461382871,425.5753278193797,937.3068596820522,780.6650903445616
labeled-data,208D,img102.png,416.50854131178545,449.24797865439245,892.9206393664044,434.4525718825093,913.6342088470401,780.6650903445617
labeled-data,208D,img103.png,413.54945995740894,452.20706000876896,898.8388020751576,428.5344091737562,919.5523715557931,780.6650903445616
labeled-data,208D,img105.png,416.50854131178545,449.24797865439245,895.8797207207809,437.41165323688585,943.2250223908053,786.5832530533146
labeled-data,208D,img108.png,416.50854131178545,449.24797865439245,907.7160461382871,437.41165323688585,1008.3248121870887,780.6650903445616
labeled-data,208D,img110.png,416.50854131178545,449.24797865439245,907.7160461382871,431.4934905281327,1052.7110325027365,777.7060089901851
labeled-data,208D,img111.png,416.50854131178545,449.24797865439245,907.7160461382871,431.4934905281327,1082.3018460465016,777.7060089901851
labeled-data,208D,img113.png,422.42670402053847,449.24797865439245,910.6751274926636,434.45257188250923,1123.7289850077727,768.8287649270553
labeled-data,208D,img118.png,425.38578537491503,458.125222717522,913.6342088470401,437.41165323688585,1168.1152053234205,739.2379513832902
labeled-data,208D,img120.png,422.42670402053847,449.24797865439245,913.6342088470401,437.41165323688585,1141.483473134032,742.1970327376666
labeled-data,208D,img123.png,416.50854131178545,455.16614136314547,898.8388020751576,440.37073459126236,1105.9744968815137,759.9515208639258
labeled-data,208D,img128.png,416.50854131178545,455.16614136314547,898.8388020751576,452.2070600087684,1008.3248121870887,786.5832530533146
labeled-data,208D,img129.png,422.42670402053847,455.16614136314547,898.8388020751576,452.2070600087684,1005.3657308327122,795.4604971164442
labeled-data,208D,img135.png,422.42670402053847,455.16614136314547,913.6342088470401,431.4934905281327,996.4884867695824,786.5832530533146
labeled-data,208D,img137.png,422.42670402053847,455.16614136314547,916.5932902014166,428.5344091737562,1020.1611376045947,780.6650903445616
labeled-data,208D,img143.png,422.42670402053847,455.16614136314547,901.7978834295341,425.5753278193797,1073.424601983372,768.8287649270554
labeled-data,208D,img144.png,416.50854131178545,455.16614136314547,919.5523715557931,443.32981594563887,1091.1790901096313,774.7469276358084
labeled-data,208D,img148.png,422.42670402053847,455.16614136314547,922.5114529101696,422.6162464650032,1085.2609274008782,756.9924395095494
labeled-data,208D,img153.png,422.42670402053847,455.16614136314547,916.5932902014166,410.77992104749717,1073.424601983372,768.8287649270554
labeled-data,208D,img158.png,428.34486672929154,461.0843040718985,919.5523715557931,419.6571651106267,1043.833788439607,774.7469276358084
labeled-data,208D,img164.png,428.34486672929154,455.16614136314547,919.5523715557931,419.6571651106267,1026.0793003133479,780.6650903445615
labeled-data,208D,img169.png,416.50854131178545,455.16614136314547,919.5523715557931,419.6571651106267,1061.588276565866,780.6650903445615
labeled-data,208D,img171.png,416.50854131178545,455.16614136314547,919.5523715557931,419.6571651106267,1073.424601983372,768.8287649270554
labeled-data,208D,img180.png,416.50854131178545,461.0843040718985,919.5523715557931,419.6571651106267,1067.506439274619,768.8287649270554
labeled-data,208D,img184.png,416.50854131178545,455.16614136314547,919.5523715557931,419.6571651106267,1043.833788439607,774.7469276358084
labeled-data,208D,img189.png,416.50854131178545,455.16614136314547,919.5523715557931,419.6571651106267,1040.8747070852303,771.7878462814318
labeled-data,208D,img194.png,416.50854131178545,455.16614136314547,919.5523715557931,419.6571651106267,1055.670113857113,774.7469276358084
labeled-data,208D,img196.png,416.50854131178545,455.16614136314547,919.5523715557931,419.6571651106267,1049.75195114836,780.6650903445615
